,cancerType
samp80_09813133_2421_425b_858f_d633765b52d8_LUCA,LUCA
samp81_3f924c8c_f1fc_4fcd_9ec5_2b002ff8e677_LECA,LECA
samp82_ea1c3086_5a1b_4cf8_a9b8_521807260a09_LUCA,LUCA
samp83_6078ce1b_f442_45cc_9e0a_1c324964e760_LECA,LECA
samp84_324fbc0f_fd39_43ea_b83f_f41875661383_KICA,KICA
samp85_5559275f_b9c3_40dc_9ea4_2ffbceee9b16_KICA,KICA
samp86_d5388d2a_976f_4f08_80c2_14bbf4ccc753_LUCA,LUCA
samp87_013b7fc2_acfb_4d1b_94dc_07603c377ba7_LECA,LECA
samp88_4822db97_46d7_4302_bef9_63086b777e9c_LUCA,LUCA
samp89_b1361753_6f8c_4038_addb_9e4767ca627c_LUCA,LUCA
samp90_5c5b231f_5f96_4a4e_8020_a48218ec780a_BRACA,BRACA
samp91_9953057c_bee4_4eb7_bbe6_728f56e1a481_KICA,KICA
samp92_277f23e8_6e6f_4f62_a376_c215c415e2d9_BRACA,BRACA
samp93_0b646082_9e64_4fb2_a9c9_e283d4c49852_LUCA,LUCA
samp94_64370d1e_6575_42ea_a00d_e920553ea6c2_BRACA,BRACA
samp95_a648d02c_6819_4d90_ba25_1e5c27956e23_LECA,LECA
samp96_1783266a_bcae_4f80_856c_dafc23b65006_BRCA,BRCA
samp97_53a2122a_c163_4b2f_8c09_961e9268d74e_LECA,LECA
samp98_62440330_5ccd_496a_bcd3_eaf304835ebb_LECA,LECA
samp99_574d0a5f_8cb7_4783_8d5e_b07c1b3460dc_BRCA,BRCA
samp100_19a4c6d6_16ba_4697_8196_36de4ab49812_COCA,COCA
samp101_24edd191_20a1_4887_951a_3f0a753d43f8_BRCA,BRCA
samp102_47ba6bc4_1365_47e1_9bde_ec0b45a66920_LECA,LECA
samp103_313d528b_6f0b_4984_a981_d177b6083f97_LECA,LECA
samp104_b9389390_aa03_406c_957e_2bc264f9468e_COCA,COCA
samp105_52472301_36c6_4c99_97bd_b016d8a282d6_COCA,COCA
samp106_89d75a37_a8e5_4174_9015_1046cbb954a9_LECA,LECA
samp107_ed88a1bd_ab85_4585_95e3_6eff8c004ee3_LECA,LECA
samp108_138a59d3_ccab_4bb2_ae53_c46b1db766a0_LUCA,LUCA
samp109_aa231a79_e3be_4103_8a91_e6c1536db843_LUCA,LUCA
samp110_4d55951e_f537_40c3_86e6_54a1d2c530f8_BRACA,BRACA
samp111_4aae961f_b7eb_4b91_97e9_7b57599e7b59_LECA,LECA
samp112_6029735c_bc41_4a09_8c11_e19435f861d5_LECA,LECA
samp113_f57240f6_a5e4_4a9f_81d7_b59616d865dd_LUCA,LUCA
samp114_54b3ce4b_fd3d_48ec_a745_c74b660daf4b_LECA,LECA
samp115_e30b64b2_4646_4406_8f2a_8805544c0407_BRCA,BRCA
samp116_6ddeafae_5b5f_48f8_a7a8_52e19eb801e8_LUCA,LUCA
samp117_730fe34d_49c7_4bd0_82da_0ebe32992cbb_BRACA,BRACA
samp118_16ff2e77_9bc5_4485_b523_c5fa9eefb399_KICA,KICA
samp119_3692f9df_5b70_4cfb_a504_ed2cb4164ac3_BRCA,BRCA
samp120_4a928f7d_0a1d_461c_9d52_e7c5bab2b518_LECA,LECA
samp121_19f6db33_bd74_44aa_9f00_c31903e88abf_BRACA,BRACA
samp122_0ef46de9_c9e7_42f0_92bf_c17dc2ede102_BRCA,BRCA
samp123_b89f4daf_8caa_4d3e_bb98_e244310087f4_LECA,LECA
samp124_cefdeeb4_6df4_42d9_af9d_b78a6cad1ad1_BRCA,BRCA
samp125_94aadd7b_07b6_43fc_845b_a5a17e5b0f31_LECA,LECA
samp126_cbd82990_a875_4566_823a_d59aa7d02680_LECA,LECA
samp127_7f40dfdd_892f_4dd9_809d_ab6193f252aa_BRACA,BRACA
samp128_5cdd9f6c_c7b7_4885_be45_0bd53047ea82_LECA,LECA
samp129_7a39c113_0e98_413b_ac41_98c1064ac400_LECA,LECA
samp130_ca36df37_bfca_4ee8_bcfd_f83f3671bff9_LECA,LECA
samp131_24d94ee8_c5cb_42ba_bebf_9f019dbb121d_COCA,COCA
samp132_1bee45eb_9303_442d_b901_730fc143e84d_KICA,KICA
samp133_be297c26_df4c_4ae2_a117_a8c6d1cfb421_COCA,COCA
samp134_f1eb1ef7_fe25_4dd8_abed_9d9c298d72fb_LUCA,LUCA
samp135_ecef82f6_3009_4345_a56d_d028535d78fd_LUCA,LUCA
samp136_edc1c496_9837_44a2_8d9d_fb08fde56640_LECA,LECA
samp137_65fd994d_6229_4193_92b3_10eb840e01b2_LECA,LECA
samp138_01661d94_fc16_4456_95cf_a5fa4e1e196c_BRCA,BRCA
samp139_7cb4456f_ceb8_4251_93a5_5e4af32c3809_LUCA,LUCA
samp140_e2a9bef2_1078_466f_ae85_39386b0c7919_KICA,KICA
samp141_25212f64_8017_4b93_b171_10a830558566_LUCA,LUCA
samp142_153398ed_dd74_465f_a665_3c7c9d168fe6_LECA,LECA
samp143_2e8e779b_c790_4cdd_b98a_323adcf8104c_KICA,KICA
samp144_1f036fb3_66db_4460_a5aa_65316830a37a_LECA,LECA
samp145_7164752e_f3af_4ff9_aa7b_a96dc10f58ab_BRACA,BRACA
samp146_3b3239b4_ebb8_43fa_9c04_0b655253bbb5_KICA,KICA
samp147_a5e87e44_1b64_4b2d_b62e_8b8b51a1d46f_LECA,LECA
samp148_c3cdac1c_ec26_4594_b928_815143e5a3dc_LECA,LECA
samp149_1503efd0_88fe_4f51_b9da_a0c26d7857b8_LUCA,LUCA
samp150_fe8376c3_645d_4a3c_838a_32715efcec72_LECA,LECA
samp151_e0f3f77b_9fa3_470e_8900_eda1f429bb0f_BRACA,BRACA
samp152_f2f9478c_ebb5_446c_b023_c2bb98b069c2_KICA,KICA
samp153_74f8dc07_b42e_46a4_954f_a36d7bf664d3_COCA,COCA
samp154_3b93679a_307b_4078_8871_4eb5746931ce_LUCA,LUCA
samp155_13295142_1853_417f_a798_60c41fd90166_BRCA,BRCA
samp156_a199a113_b399_4d23_950d_0bd9a801557c_BRCA,BRCA
samp157_e7298d30_d154_41d1_a962_766996a80c7d_KICA,KICA
samp158_4925248f_21e2_476e_937c_02e0a748c77b_COCA,COCA
samp159_ed41fe8b_fe2e_4bf3_91e3_2cf50ddcbc78_LUCA,LUCA
samp160_866db5e1_5cf4_4a0b_a4e5_4dab20ff98f5_BRACA,BRACA
samp161_55731cdc_3348_4cfd_8bf1_d5a296057110_KICA,KICA
samp162_6a7c74c4_2f92_4ef6_902b_981d96a092b1_LUCA,LUCA
samp163_48bd7cb3_d70d_4a5e_80d8_1da201023b63_LECA,LECA
samp164_f649ebdf_c363_49ee_8cb5_29350cbaadf0_LECA,LECA
samp165_172d51cd_64aa_4489_8f9c_872d4ba8a9c3_LECA,LECA
samp166_5f2a6bc7_0621_465a_a112_7f2be2ce6a51_BRACA,BRACA
samp167_7394e752_6d32_4f9a_b97b_f3c94820e542_KICA,KICA
samp168_136e782c_cfa4_450a_8ed7_55a1d610c12c_BRCA,BRCA
samp169_7d5ef159_fc52_47ba_a598_3f1e0d1856e6_LECA,LECA
samp170_87f2a6f9_ee12_41de_9738_f17a9996354e_LECA,LECA
samp171_565d63df_4b18_41c6_8021_f824a78eced6_LECA,LECA
samp172_2e9bc79f_3864_4ce7_9341_9c17891248dc_LUCA,LUCA
samp173_d61a8ec1_aa99_41c3_8633_018cdb0ccb1a_BRCA,BRCA
samp174_ebab93c4_df4c_4c85_9620_ab1422c97aed_LECA,LECA
samp175_9c20991b_fb37_4984_8b57_2c1fa8112d1a_BRCA,BRCA
samp176_34858726_f369_4da0_95dd_01b7ad78dd6d_LECA,LECA
samp177_7b6bad98_b419_4a98_a1bc_9310f9b6e511_LECA,LECA
samp178_3b236a47_98b2_49f2_8595_fdaa59a38146_KICA,KICA
samp179_8f1213be_da41_4cd6_97b2_f9fce1ea00ff_COCA,COCA
samp180_2276a330_e86b_46e1_be45_ae41d217ef66_LUCA,LUCA
samp181_7dab0af8_ab64_4014_b7b7_bf0df59a1b3a_COCA,COCA
samp182_d5828564_85c7_4730_b5a2_646b775e7200_BRCA,BRCA
samp183_966b8ebe_7c9b_4241_a0f0_6916994dacc4_LECA,LECA
samp184_cadf5f9c_799c_4ca0_bbd5_3a2fad2cefd3_LECA,LECA
samp185_337d8f1f_6771_4bab_aed2_e48ccbde766a_KICA,KICA
samp186_145db6c5_f7ad_4e2f_88f1_d68bc457848a_LUCA,LUCA
samp187_6fa6b2d5_33bd_4bfb_8f45_3969b64c36ee_KICA,KICA
samp188_8a1eac98_1206_4d95_8466_4b842b5d6060_KICA,KICA
